NDC,Cellular Operator,Telecom Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7364,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7365,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7367,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7368,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7369,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7370,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7371,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7372,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373,C,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7374,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7375,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7376,B,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7377,I,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7378,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7379,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7380,B,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7381,V,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7382,B,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7383,U,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7384,U,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7385,U,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7386,U,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7387,A,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7388,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389,A,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7390,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7391,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7392,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7393,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7394,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7395,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7396,U,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7397,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7398,U,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,C,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7401,C,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7402,C,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7403,C,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7404,T,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7405,T,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7406,V,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7407,V,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7408,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7409,V,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7410,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7411,T,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7412,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7413,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7414,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7415,T,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7416,T,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7417,T,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7418,T,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7419,r,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7420,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7421,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7422,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7423,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7424,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7425,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7426,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7427,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7428,r,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7429,r,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7430,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7431,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7432,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7433,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7434,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7435,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7436,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7437,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7438,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7439,r,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7441,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7442,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7443,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7444,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7445,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7447,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7448,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7450,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7451,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7452,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7453,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7454,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7455,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7456,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7457,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7458,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7459,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7460,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7461,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7462,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7463,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7464,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7465,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7466,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7467,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7468,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7469,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7470,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7471,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7472,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7473,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7474,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7475,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7476,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7478,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7481,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,r,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7486,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,r,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7489,r,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7491,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7492,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7493,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7494,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7497,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7498,r,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,r,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501,T,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7502,C,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7503,C,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7504,C,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7505,R,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,V,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,V,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7508,V,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509,V,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7510,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7511,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7513,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7514,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7515,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7516,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7518,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7519,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,r,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7521,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7522,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7523,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7524,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7526,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7527,I,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7528,I,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7529,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7530,C,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7531,C,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7532,C,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7533,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7534,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7535,I,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7536,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7537,C,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7538,C,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7539,C,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7540,C,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7541,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7542,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7543,A,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7544,*,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7545,V,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7546,V,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7547,V,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7548,V,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7549,V,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7550,V,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7551,V,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7552,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7554,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7555,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7556,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7557,V,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7558,I,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7559,I,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7560,I,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7561,I,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7562,I,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7563,I,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7564,I,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7565,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7566,V,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7567,V,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7568,A,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7569,R,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7570,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7571,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572,V,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7573,V,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7574,V,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7575,V,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576,V,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7577,V,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7578,V,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7579,B,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7580,V,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7581,V,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7582,V,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7583,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7584,A,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7585,A,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7586,A,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7587,B,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7588,B,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7589,B,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7590,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7591,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7592,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7593,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7594,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7595,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7596,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7597,B,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7598,B,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,B,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7600,A,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7601,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7602,A,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7603,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7604,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7605,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7606,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7607,A,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7608,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7609,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7610,C,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7611,C,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7612,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7613,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7614,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7615,C,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7616,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7618,I,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7619,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7620,R,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7621,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7622,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7624,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7625,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7626,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7627,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7628,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7629,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7630,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7631,V,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7632,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7633,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7634,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7635,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7636,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7637,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7638,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7639,V,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7640,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7641,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7642,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7643,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7644,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7645,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7646,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7647,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7648,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7650,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7653,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654,I,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7655,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7656,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7657,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7658,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7662,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7663,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7664,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,V,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666,R,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7667,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7668,R,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7669,R,UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7670,R,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,R,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7672,R,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7673,*,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7674,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7675,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7676,R,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7677,R,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7678,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7679,R,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7680,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7681,A,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7682,A,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7683,A,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7684,A,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7685,C,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7686,C,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7687,C,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7688,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7689,I,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7690,I,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7691,I,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7692,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7693,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7694,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7695,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7696,T,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7697,I,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7698,I,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,I,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7701,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7702,A,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7703,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7704,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7705,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7706,V,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7708,A,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7709,A,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7710,A,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7711,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7712,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7713,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7714,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7715,A,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7716,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7717,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7718,A,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7719,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7720,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7721,I,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7722,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7723,R,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7724,R,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7725,*,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7726,A,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7727,A,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7728,A,RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7729,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7730,I,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
