NDC,Cellular Operator,Telecom Circles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7273,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7274,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7275,T,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7276,T,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7277,C,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7278,C,KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7279,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7280,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7281,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7282,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7283,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7284,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7285,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7286,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7287,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7288,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7289,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7290,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7291,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7292,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7293,C,KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7294,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7295,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7296,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7297,$,$$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7298,C,JK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7299,C,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7300,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7301,C,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7302,L,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7303,R,MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7304,R,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7305,R,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7306,R,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7307,R,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7308,R,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7309,I,UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7310,-,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
